"","disc_number","duration_ms.x","href","name","popularity","album.release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo"
"29",1,171240,"https://api.spotify.com/v1/tracks/00wyFkzeyMt0qsiQvs9aUE","Fingers",60,"2018-12-14",0.522,0.434,7,-9.237,0,0.179,0.346,9.01e-06,0.107,0.559,106.672
"30",1,196160,"https://api.spotify.com/v1/tracks/00Z0GIRi0l7WqQnQJCo5S2","Don't Let It Break Your Heart - Single Edit",74,"2019-11-23",0.362,0.708,10,-4.046,1,0.0672,0.0226,0,0.0873,0.513,166.31
"31",1,224960,"https://api.spotify.com/v1/tracks/010Z2ESTyZyrrTfk3hJdfx","¿Ahora Qué?",35,"2020-03-13",0.762,0.746,6,-4.3,0,0.0481,0.278,1.17e-05,0.333,0.521,94.005
"32",1,277266,"https://api.spotify.com/v1/tracks/013AWvizllIUEC2FOBzOnh","Truly Madly Deeply",73,"1997-03-04",0.555,0.698,0,-8.874,1,0.0287,0.403,0,0.0851,0.816,168.12
"33",1,209253,"https://api.spotify.com/v1/tracks/0158TMiGmHyibaDeaUKayX","She Won't Be Lonely Long",61,"2010-06-08",0.635,0.758,7,-5.772,1,0.0243,0.00643,0,0.229,0.322,113.002
"34",1,436666,"https://api.spotify.com/v1/tracks/016lRekZnXnaIjSiI37uev","Piano Concerto No.5 in E flat major Op.73 -""Emperor"": 2. Adagio un poco mosso",20,"2020-03-08",0.231,0.0191,11,-30.58,1,0.0392,0.972,0.935,0.0992,0.0522,140.971
"35",1,213173,"https://api.spotify.com/v1/tracks/0178e3xmFBH9dboFXVeNya","Sarah Come Home",53,"2020-02-21",0.682,0.702,0,-4.727,1,0.0353,0.0735,0,0.128,0.445,115.064
"36",1,228146,"https://api.spotify.com/v1/tracks/018Idkvf82hi44UZmIXiGB","Never Seen Anything ""Quite Like You"" - Acoustic",68,"2018-04-18",0.444,0.398,6,-8.01,1,0.03,0.799,0,0.114,0.361,79.874
"37",1,222317,"https://api.spotify.com/v1/tracks/01Ch5LzVStxCFPKkT1xg6k","sweet sweet",64,"2016-09-16",0.733,0.578,0,-5.245,0,0.0417,0.0859,1.19e-06,0.403,0.447,142.028
"38",1,225960,"https://api.spotify.com/v1/tracks/01dVdmSV7eaVgRzUAi6o13","A Mí Me Esta Doliendo",61,"2016-02-05",0.779,0.389,10,-6.278,1,0.0312,0.248,5.13e-06,0.0641,0.674,114.941
"39",1,279533,"https://api.spotify.com/v1/tracks/01e8dGbulrphX8j3fZDQYk","I Hold On",58,"2014-01-01",0.614,0.715,0,-6.451,1,0.0445,0.0849,0.000316,0.102,0.231,117.956
"40",1,622640,"https://api.spotify.com/v1/tracks/01FM3okcfV3fQjeHCTWmAq","Piano Sonata No. 28 in A Major, Op. 101: III. Langsam und sehnsuchtvoll - IV. Geschwinde, doch nicht zu sehr und mit Entschlossenheit",2,"2020-03-06",0.34,0.0619,9,-25.966,1,0.0445,0.989,0.9,0.107,0.123,128.256
"41",1,535333,"https://api.spotify.com/v1/tracks/01gDLZsi0j5fWC28FLPNO8","Move on Up - Extended Version",62,"1970",0.584,0.975,11,-6.534,0,0.0651,0.141,0.501,0.101,0.876,138.341
"42",3,131133,"https://api.spotify.com/v1/tracks/01J9ZK2bcCtpMRvNpHgLV5","Nocturne (A Tribute To XXXTENTACION)",44,"2019-09-06",0.409,0.262,4,-12.717,0,0.0341,0.948,0.877,0.0899,0.112,70.122
"43",1,217386,"https://api.spotify.com/v1/tracks/01jIO8SJFnpSiNLH1JaBZ5","You",71,"2018-09-07",0.735,0.453,8,-8.264,0,0.0602,0.413,0,0.104,0.335,115.002
"44",1,203438,"https://api.spotify.com/v1/tracks/01JMnRUs2YOK6DDpdQASGY","Grace (feat. 42 Dugg)",74,"2020-02-28",0.817,0.513,10,-6.263,0,0.394,0.38,0,0.109,0.177,123.029
"45",1,264097,"https://api.spotify.com/v1/tracks/01JPQ87UHeGysPVwTqMJHK","She Don't (feat. Ty Dolla $Ign)",72,"2016-02-15",0.649,0.478,7,-7.503,0,0.0481,0.274,0,0.176,0.151,99.967
"46",1,163560,"https://api.spotify.com/v1/tracks/01ksPzu3Bw8Lsf9o6xIk8C","Mi Último Deseo",68,"2013-01-01",0.844,0.639,11,-4.461,0,0.0437,0.62,0,0.46,0.974,121.033
"47",1,243933,"https://api.spotify.com/v1/tracks/01M5hVBTnEeSez8ldbHeYM","Love Touch (Theme from ""Legal Eagles"")",0,"2020-03-13",0.494,0.762,4,-13.15,1,0.0448,0.0381,2.33e-05,0.0475,0.831,179.009
"48",1,254400,"https://api.spotify.com/v1/tracks/01Mpj13vURSO3cCLprPt5T","Raining Blood",62,"1986-01-01",0.294,0.995,1,-4.383,0,0.168,0.000489,0.331,0.128,0.0379,88.777
"49",1,341746,"https://api.spotify.com/v1/tracks/01MXkFA8sL7at6txavDErt","Making Love Out of Nothing at All",69,"2018-02-02",0.388,0.72,7,-5.541,1,0.033,0.202,0.000288,0.283,0.554,141.283
"50",1,170546,"https://api.spotify.com/v1/tracks/01oxuDv2GsOoj6xxhaM8eL","Shoulda Named It After Me",59,"2018-01-04",0.475,0.88,11,-3.572,1,0.0374,0.0111,0,0.161,0.403,167.996
"51",1,220226,"https://api.spotify.com/v1/tracks/01stPT7J3W6Zx45jj1f4nk","Like Us",55,"2017-12-22",0.886,0.567,11,-6.96,1,0.191,0.0165,0.000178,0.103,0.283,140.043
"52",1,186267,"https://api.spotify.com/v1/tracks/01TnVDiet1DFTsyWKUKovl","NUMB",74,"2018-03-16",0.414,0.416,11,-8.024,0,0.0251,0.1,0.179,0.131,0.196,159.91
"53",1,198087,"https://api.spotify.com/v1/tracks/01TreyTchXP0J1Mn6wcVHt","Up Now (feat. G-Eazy and Rich The Kid)",56,"2018-08-22",0.956,0.544,1,-6.41,1,0.0822,0.00294,0,0.104,0.127,104.011
"54",1,215110,"https://api.spotify.com/v1/tracks/01TyFEZu6mHbffsVfxgrFn","Show Me How",65,"2018-02-28",0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99
"55",1,318525,"https://api.spotify.com/v1/tracks/01uqI4H13Gsd8Lyl1EYd8H","Same Love - feat. Mary Lambert",67,"2012-10-09",0.688,0.473,8,-9.059,1,0.167,0.716,4.46e-05,0.104,0.299,84.958
"56",1,257786,"https://api.spotify.com/v1/tracks/01uv6ePJnGi3lU0vP7l0S0","Nocturne No.20 In C Sharp Minor, Op.posth.",0,"2020-03-13",0.245,0.00499,1,-32.649,0,0.0476,0.989,0.948,0.0699,0.101,73.206
"57",1,205480,"https://api.spotify.com/v1/tracks/01UYpHuzHi4eB9PAbDoPY2","Summer Breeze",65,"1972",0.49,0.581,5,-6.566,1,0.0388,0.553,0.0177,0.0764,0.318,88.718
"58",1,258853,"https://api.spotify.com/v1/tracks/01vv2AjxgP4uUyb8waYO5Y","Morph",68,"2018-10-05",0.734,0.607,8,-7.249,0,0.0806,0.0747,0.000577,0.0968,0.518,90.023
"59",1,426996,"https://api.spotify.com/v1/tracks/01wKeKPgYxdPYA8rfMveYc","Shot You Down (feat. Jay Rock & ScHoolboy Q)",55,"2014-01-28",0.682,0.717,1,-3.682,1,0.246,0.385,0,0.152,0.507,90.147
"60",1,246495,"https://api.spotify.com/v1/tracks/01wpPOPqQ3XyS6hBN00HfK","In the Morning",56,"2016-07-29",0.709,0.757,1,-6.064,1,0.0356,0.0232,0.335,0.0791,0.166,123.006
"61",1,63360,"https://api.spotify.com/v1/tracks/01z2BtrmRMnH04xb7xFNcs","Piano Sonata No. 11 in A Major, K. 331: 3. Alla Turca (Allegretto)",2,"2020-03-15",0.635,0.321,9,-19.295,0,0.0721,0.994,0.868,0.181,0.388,135.553
"62",1,161840,"https://api.spotify.com/v1/tracks/01z2fBGB8Hl3Jd3zXe4IXR","Come Back to Earth",71,"2018-08-03",0.272,0.238,2,-12.148,0,0.0349,0.89,0.00925,0.275,0.119,83.507
"63",1,225746,"https://api.spotify.com/v1/tracks/01ZepwW5W3Z4fwl4bzaHyY","Kick It In The Sticks",61,"2010",0.493,0.843,8,-5.924,0,0.0707,0.00507,0,0.13,0.523,158.028
"64",1,167159,"https://api.spotify.com/v1/tracks/021bAHY192CA2YOiesbiHn","Heavy Steppers",59,"2019-06-20",0.865,0.642,1,-5.906,1,0.686,0.0282,0,0.0305,0.747,139.901
"65",1,180560,"https://api.spotify.com/v1/tracks/023OVLNzXhX0j7CxswUt6D","Cheerleader - Felix Jaehn Remix Radio Edit",64,"2015-10-16",0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026
"66",1,180000,"https://api.spotify.com/v1/tracks/0283eP3qI4fMOwPCZqPqJY","Rolling Up My Weed",55,"2017-11-24",0.83,0.45,5,-7.179,1,0.393,0.211,6.46e-05,0.116,0.206,159.945
"67",1,201626,"https://api.spotify.com/v1/tracks/028JxheELfIvvY4zBXuMjw","Heartless (feat. Mustard)",75,"2019-09-20",0.776,0.64,7,-8.058,1,0.183,0.15,0,0.0983,0.326,160.038
"68",1,168746,"https://api.spotify.com/v1/tracks/02BwlHD6hUNn3kzySLfqMq","Ne Me Quitte Pas (Don't Leave Me)",56,"2020-01-10",0.617,0.5,6,-5.747,1,0.034,0.386,0.00521,0.107,0.516,90.026
"69",1,184000,"https://api.spotify.com/v1/tracks/02CNxEPvl0KhM3a0DL6MS5","Don't Start Now",44,"2020-03-06",0.752,0.794,11,-5.469,0,0.0641,0.0515,1.08e-06,0.0625,0.82,123.987
"70",1,207222,"https://api.spotify.com/v1/tracks/02CQH5capUYovYSiSiwKgX","Bosses and Workers (feat. Don Q and Trap Manny)",57,"2018-12-21",0.842,0.605,1,-6.293,0,0.0559,0.358,0,0.0843,0.591,130.027
"71",1,290066,"https://api.spotify.com/v1/tracks/02D9uD9WQb834Lb54xCvDS","Love U 4 Life",53,"1995-01-01",0.606,0.648,0,-7.802,1,0.0466,0.349,0,0.639,0.646,59.041
"72",1,236626,"https://api.spotify.com/v1/tracks/02eD9ymfJOJOhM97HYp5R9","The House That Built Me",65,"2009-09-24",0.515,0.3,5,-8.005,1,0.0289,0.575,8.46e-06,0.115,0.206,81.12
"73",1,230240,"https://api.spotify.com/v1/tracks/02Ey48n33H3erWJRZAtTFj","This One's for You",60,"2017-06-02",0.499,0.497,11,-7.811,1,0.0449,0.444,1.41e-06,0.108,0.235,149.278
"74",1,198986,"https://api.spotify.com/v1/tracks/02GmO6MMtnh77QXRM4TqIn","Reason",55,"2019-03-29",0.694,0.798,4,-4.272,1,0.147,0.022,0,0.0573,0.97,155.999
"75",1,286426,"https://api.spotify.com/v1/tracks/02GwPAncasVL82yC7y2hmN","Raise Up",53,"2001",0.735,0.844,1,-5.215,1,0.167,0.142,0,0.319,0.742,156.069
"76",1,192533,"https://api.spotify.com/v1/tracks/02jcEwywffn3Tsb48fXmlW","Get the Party Started",66,"2001",0.802,0.904,11,-3.267,0,0.0459,0.00108,0,0.173,0.961,128.931
"77",1,208373,"https://api.spotify.com/v1/tracks/02jGo2FGICuwh0WnFSiLuG","Hell Right (feat. Trace Adkins)",59,"2019-12-13",0.547,0.829,2,-6.156,1,0.0484,0.085,1.67e-05,0.132,0.53,75.966
"78",1,211496,"https://api.spotify.com/v1/tracks/02k1fWdvRT2sD8ky8v3WOf","Mais Feliz",1,"2020-03-13",0.625,0.553,7,-11.765,1,0.0956,0.422,1.36e-06,0.141,0.66,86.034
"79",1,252853,"https://api.spotify.com/v1/tracks/02kc9ytzK6Pm9l85quPE9e","Bumpy Teeth",52,"2019-12-17",0.751,0.851,11,-3.882,0,0.293,0.0468,0.171,0.307,0.413,139.992
"80",1,127733,"https://api.spotify.com/v1/tracks/02KpkaZbiutsR0ucxce4Sh","This Will Be Our Year",60,"1968-04-19",0.535,0.424,9,-7.491,1,0.0314,0.626,0,0.191,0.539,97.506
"81",1,159546,"https://api.spotify.com/v1/tracks/02lGHA7bFFplYLihnUWTx8","Tequila",75,"2019-11-22",0.757,0.688,9,-4.546,1,0.112,0.226,0,0.237,0.704,155.994
"82",2,213506,"https://api.spotify.com/v1/tracks/02M6vucOvmRfMxTXDUwRXu","7/11",70,"2014-11-24",0.747,0.705,9,-5.137,0,0.126,0.0128,0,0.126,0.56,136.024
"83",1,250075,"https://api.spotify.com/v1/tracks/02mQcDoU5cn15U6tqZmL4e","Disappear",40,"1990",0.645,0.88,9,-3.403,1,0.0329,0.0242,2.04e-06,0.0978,0.834,125.418
"84",1,207680,"https://api.spotify.com/v1/tracks/02opp1cycqiFNDpLd2o1J3","Big Lie",70,"2016-12-09",0.442,0.684,6,-4.888,0,0.168,0.191,0,0.0725,0.218,170.862
"85",1,187064,"https://api.spotify.com/v1/tracks/02p3SB7cipcWK3STz7aLbK","Best of Us",51,"2012-06-19",0.74,0.703,9,-7.663,1,0.0543,0.17,0,0.17,0.961,81.984
"86",1,235600,"https://api.spotify.com/v1/tracks/02pf9lLM8Nb8l4u4ts1GWb","My Nigga",67,"2014-01-01",0.673,0.464,10,-6.864,0,0.201,0.0933,0,0.21,0.762,171.043
"87",1,296286,"https://api.spotify.com/v1/tracks/02pQk9G1SnyBBVh9yOtxau","La Rumba Quimbumba",53,"2005",0.811,0.574,7,-9.001,1,0.0294,0.197,0,0.071,0.7,96.997
"88",1,162360,"https://api.spotify.com/v1/tracks/02R2z7JWV0G8VuU1xs58OB","Come",52,"2016-11-25",0.819,0.784,1,-6.524,1,0.0435,0.222,0.00786,0.0809,0.831,99.989
"89",1,183011,"https://api.spotify.com/v1/tracks/02RCbjb9czvQKNGBmEmWob","Woah",74,"2020-02-28",0.883,0.599,11,-5.551,1,0.248,0.0177,0,0.179,0.413,142.976
"90",1,208561,"https://api.spotify.com/v1/tracks/02shCNmb6IvgB5jLqKjtkK","Nevada",68,"2016-06-24",0.605,0.783,3,-4.271,1,0.0324,0.299,0.000175,0.133,0.105,124.015
"91",1,157674,"https://api.spotify.com/v1/tracks/02TmyBZCgcVihv9PVK9Mw2","iunno",66,"2019-11-29",0.908,0.402,0,-11.701,0,0.261,0.241,0,0.066,0.569,86.005
"92",1,206974,"https://api.spotify.com/v1/tracks/02tvc9CFnTyHuSRlGeNv9w","Corduroy Dreams",74,"2016-11-07",0.61,0.305,4,-14.037,1,0.053,0.653,0,0.103,0.222,113.818
"93",2,356986,"https://api.spotify.com/v1/tracks/02UfNUoxphQFSLYQnSzqhM","Partita No. 4 in D Major, BWV 828: V. Sarabande",0,"2020-03-13",0.267,0.286,1,-17.582,1,0.05,0.888,0.692,0.062,0.604,84.736
"94",1,243200,"https://api.spotify.com/v1/tracks/02USe1i6J6fkRaCODAsi8A","SO HIGH",46,"2019-05-31",0.516,0.799,4,-5.963,0,0.0328,0.0161,0.647,0.0876,0.0605,150.095
"95",1,157721,"https://api.spotify.com/v1/tracks/02XlaBr5k34zLI1lG6uCSP","Broke Opps",50,"2020-03-06",0.868,0.528,1,-8.079,1,0.0817,0.147,0.000185,0.109,0.211,139.961
"96",1,168946,"https://api.spotify.com/v1/tracks/02Ygu8lo3qSknRpcBnspso","Just Friends",69,"2019-05-24",0.793,0.714,7,-7.562,1,0.193,0.156,0,0.136,0.794,100.036
"97",1,250133,"https://api.spotify.com/v1/tracks/0301nLjG0ti26rx5ZmfqtP","Scenario - LP Mix",57,"1991-09-24",0.795,0.6,2,-14.004,1,0.341,0.112,0.000171,0.111,0.633,101.78
"98",1,145573,"https://api.spotify.com/v1/tracks/030m7PvxrSMog3Y8nYCmp0","You should be sad - Tiësto Remix",19,"2020-03-13",0.663,0.791,2,-4.394,1,0.0375,0.0628,0,0.592,0.793,121.994
"99",1,224093,"https://api.spotify.com/v1/tracks/030OCtLMrljNhp8OWHBWW3","Hey Daddy (Daddy's Home)",60,"2010-03-30",0.59,0.698,11,-4.262,1,0.0286,0.000176,0,0.107,0.352,95.975
"100",1,199186,"https://api.spotify.com/v1/tracks/033nWyoCpD9u4RvdkVu20v","Another Level",59,"2018-07-27",0.73,0.899,9,-4.427,1,0.0866,0.145,0,0.159,0.753,127.996
"101",1,160736,"https://api.spotify.com/v1/tracks/034KyQEk7IhbLtniVhBErj","17",71,"2020-02-28",0.558,0.364,5,-8.663,1,0.0501,0.169,0.000101,0.109,0.252,129.174
"102",1,192000,"https://api.spotify.com/v1/tracks/035epJwRLJQLXbQ7XtPFEf","Noth",50,"2018-03-30",0.318,0.347,8,-13.523,0,0.144,0.609,0.9,0.103,0.0783,169.73
"103",1,422510,"https://api.spotify.com/v1/tracks/035fB4qKVUc0GOW0oJcKMF","Clean White Noise",59,"2009-08-06",0,0.0163,1,-24.419,1,0,0.728,0.326,0.111,0,0
"104",1,117400,"https://api.spotify.com/v1/tracks/038gsZG1ObZUtFMkwIJnqH","Viola da gamba Sonata No. 1 in G Major, BWV 1027: III. Andante",0,"2020-03-13",0.311,0.0758,6,-24.592,1,0.0357,0.768,0.00425,0.0699,0.169,84.039
"105",1,45400,"https://api.spotify.com/v1/tracks/039bUEO50cRp7ND5lqP4kx","A Question and Answer Song",0,"2020-03-13",0.525,0.142,9,-14.876,1,0.0801,0.988,0.0154,0.185,0.534,136.897
"106",1,237906,"https://api.spotify.com/v1/tracks/03AVlZkHQyvMUW8x83pt2l","Turn It Up/Fire It up - Remix",0,"2020-03-13",0.817,0.84,2,-8.598,1,0.0922,0.00506,0.00034,0.288,0.89,104.295
"107",1,157693,"https://api.spotify.com/v1/tracks/03d8S7FBY2kIzhP0E7l4rn","If I Know Me",68,"2018-04-27",0.777,0.604,8,-5.813,1,0.12,0.765,6.79e-05,0.11,0.672,99.934
"108",1,209937,"https://api.spotify.com/v1/tracks/03E06FTE8LrhTfdOfDBb2q","Rain Sounds: Raining",61,"2017-05-05",0.19,0.635,10,-16.847,1,0.0669,0.135,0.995,0.551,1e-05,91.361
"109",1,150475,"https://api.spotify.com/v1/tracks/03eJ2DclFWXYU8GWgANdmZ","bad vibes forever",71,"2019-12-06",0.799,0.526,8,-5.153,1,0.0717,0.334,0.00174,0.0571,0.746,129.875
"110",1,54790,"https://api.spotify.com/v1/tracks/03eTN7qaiHC3SbaEDTRE8J","Change Your Mind",54,"2019-04-12",0.451,0.0154,3,-20.802,1,0.0558,0.988,1.5e-06,0.102,0.13,88.252
"111",1,209426,"https://api.spotify.com/v1/tracks/03f7xZmt2wHCIDJBFPK8G4","Soap",67,"2015-08-14",0.595,0.689,6,-6.107,0,0.148,0.254,5.44e-06,0.129,0.213,168.112
"112",1,226866,"https://api.spotify.com/v1/tracks/03fT3OHB9KyMtGMt2zwqCT","Play It Again",74,"2013-01-01",0.506,0.886,11,-3.225,1,0.0655,0.0916,0,0.0734,0.595,143.935
"113",1,350218,"https://api.spotify.com/v1/tracks/03GBiorLGTk7T4IScIl4jj","Ex-Wives",64,"2018-08-31",0.703,0.443,0,-9.601,0,0.0862,0.0499,0,0.338,0.367,136.647
"114",1,169733,"https://api.spotify.com/v1/tracks/03hLVCpDQLyCELfoLCnCmo","ANKLES",30,"2020-03-06",0.567,0.646,8,-6.714,1,0.377,0.244,7.64e-05,0.178,0.458,180.154
"115",1,370440,"https://api.spotify.com/v1/tracks/03It1uO69CjGWP3yyVe465","Chun Swae (feat. Swae Lee)",56,"2018-08-10",0.848,0.421,10,-8.025,0,0.0648,0.0656,0.00151,0.136,0.212,141.01
"116",1,213576,"https://api.spotify.com/v1/tracks/03jdl5GTBhKsgB1Yw8mVPh","In Between",63,"2014-06-10",0.462,0.972,7,-2.642,0,0.138,0.00285,0,0.666,0.449,128.092
"117",1,297373,"https://api.spotify.com/v1/tracks/03L2AoiRbWhvt7BDMx1jUB","U With Me?",59,"2016-05-06",0.429,0.43,2,-11.373,1,0.165,0.337,1.18e-05,0.138,0.125,174.984
"118",1,160453,"https://api.spotify.com/v1/tracks/03lcoVFQXlRdiXHPO2Lu6c","Off The Goop",61,"2020-02-14",0.754,0.548,1,-8.441,1,0.415,0.127,0,0.514,0.538,170.055
"119",1,197346,"https://api.spotify.com/v1/tracks/03mMSLEJCPoGJwQhHpN5y0","Treat People With Kindness",73,"2019-12-13",0.653,0.869,5,-3.725,1,0.0382,0.128,2.2e-05,0.046,0.697,122.017
"120",1,201440,"https://api.spotify.com/v1/tracks/03MOcbkkoNLjP0G91iODSB","Quando Quando Quando",55,"1968-08-03",0.366,0.589,0,-8.956,1,0.0333,0.251,1.15e-06,0.0791,0.84,175.935
"121",1,259040,"https://api.spotify.com/v1/tracks/03MWa1FMygR3RrQoQytsjS","Cudi Zone",55,"2009-01-01",0.706,0.691,9,-5.86,0,0.0338,0.546,1.3e-06,0.366,0.597,134.751
"122",1,260000,"https://api.spotify.com/v1/tracks/03nPEoQOYMuDe7KmGljpmd","No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",66,"2019-05-17",0.527,0.761,0,-4.708,1,0.341,0.073,0,0.0865,0.653,135.543
"123",1,177866,"https://api.spotify.com/v1/tracks/03RLJVJKfqsuCZfnqlhJVh","Racks On (feat. YoungBoy Never Broke Again)",51,"2020-03-13",0.687,0.535,5,-6.374,1,0.173,0.113,0,0.125,0.249,158.084
"124",1,168693,"https://api.spotify.com/v1/tracks/03Sd6gSB6wflW8YCufbj9F","Jump for X",39,"2020-01-31",0.703,0.454,7,-5.683,1,0.12,0.374,0,0.543,0.522,147.689
